🕘️更新时间,#genre#
2026-03-14 23:16:52,http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8$订阅源

📺央视频道,#genre#
CCTV-1,http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8$订阅源
CCTV-1,http://wangzg.synology.me:4022/rtp/239.49.8.19:9614$订阅源
CCTV-2,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773806307&major_anchor_level=common&sign=26df1db545d069eb52f37cc9e31f4d3c&t_id=037-2026031111582683916CAD1DF66CD09662-UtkRAa$订阅源
CCTV-2,http://wangzg.synology.me:4022/rtp/239.49.8.50:9802$订阅源
CCTV-4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$订阅源
CCTV-4,http://wangzg.synology.me:4022/rtp/239.49.8.51:9806$订阅源
CCTV-5,http://wangzg.synology.me:4022/rtp/239.49.8.75:8000$订阅源
CCTV-9,http://wangzg.synology.me:4022/rtp/239.49.8.53:9814$订阅源
CCTV-10,http://wangzg.synology.me:4022/rtp/239.49.8.54:9818$订阅源
CCTV-11,http://wangzg.synology.me:4022/rtp/239.49.1.11:6000$订阅源
CCTV-12,http://wangzg.synology.me:4022/rtp/239.49.8.55:9822$订阅源
CCTV-13,http://cdn3.veryfast.filegear-sg.me/live/cctv13/stream.m3u8$订阅源
CCTV-13,https://cdn3.163189.xyz/163189/cctv13$订阅源
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-407136188858892972.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773018913&major_anchor_level=common&sign=49b2a5b43da143cffc0b61fb762bc89c&t_id=037-2026030209151226A5C2CF88804701E66B-LfLeur$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CCTV-14,http://wangzg.synology.me:4022/rtp/239.49.8.56:9826$订阅源
CCTV-15,http://wangzg.synology.me:4022/rtp/239.49.1.15:6000$订阅源
CCTV-17,http://pull-hls-f11.douyincdn.com/media/stream-118948282823344812.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773100588&major_anchor_level=common&sign=0a2a65437075fad16a3b5c028fce3936&t_id=037-202603030756275F53082918C89A46E14D-oDewtG$订阅源
CCTV-17,http://wangzg.synology.me:4022/rtp/239.49.8.52:9810$订阅源

☘️央视教育,#genre#

☘️湖南频道,#genre#
湖南电视剧,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj$订阅源
湖南电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy$订阅源
湖南爱晚,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngg$订阅源
湖南教育,http://php.jdshipin.com:8880/iptv.php?id=hnjy$订阅源
湖南娱乐,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnyl$订阅源
湖南国际,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngj$订阅源

📡卫视频道,#genre#
广东卫视,http://wangzg.synology.me:4022/rtp/239.49.8.13:9422$订阅源
浙江卫视,http://wangzg.synology.me:4022/rtp/239.49.8.20:9618$订阅源
湖南卫视,http://wangzg.synology.me:4022/rtp/239.49.8.12:9418$订阅源
北京卫视,http://wangzg.synology.me:4022/rtp/239.49.8.11:9414$订阅源
湖北卫视,http://wangzg.synology.me:4022/rtp/239.49.8.8:9632$订阅源
黑龙江卫视,http://wangzg.synology.me:4022/rtp/239.49.8.14:9426$订阅源
安徽卫视,http://wangzg.synology.me:4022/rtp/239.49.8.80:8000$订阅源
重庆卫视,http://wangzg.synology.me:4022/rtp/239.49.8.57:9830$订阅源
东方卫视,http://wangzg.synology.me:4022/rtp/239.49.8.17:9606$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东南卫视,http://wangzg.synology.me:4022/rtp/239.49.8.112:8000$订阅源
贵州卫视,http://wangzg.synology.me:4022/rtp/239.49.8.49:8000$订阅源
海南卫视,http://wangzg.synology.me:4022/rtp/239.49.8.83:8000$订阅源
河北卫视,http://wangzg.synology.me:4022/rtp/239.49.8.114:8000$订阅源
河南卫视,http://wangzg.synology.me:4022/rtp/239.49.8.29:8000$订阅源
吉林卫视,http://wangzg.synology.me:4022/rtp/239.49.8.113:8000$订阅源
江苏卫视,http://wangzg.synology.me:4022/rtp/239.49.8.16:9602$订阅源
江西卫视,http://wangzg.synology.me:4022/rtp/239.49.8.111:8000$订阅源
辽宁卫视,http://wangzg.synology.me:4022/rtp/239.49.8.48:8000$订阅源
山东卫视,http://wangzg.synology.me:4022/rtp/239.49.8.7:9306$订阅源
四川卫视,http://wangzg.synology.me:4022/rtp/239.49.8.110:8000$订阅源
深圳卫视,http://wangzg.synology.me:4022/rtp/239.49.8.15:9430$订阅源
天津卫视,http://wangzg.synology.me:4022/rtp/239.49.8.35:8620$订阅源
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws$订阅源
新疆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225635$订阅源
云南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226444$订阅源
云南卫视,http://wangzg.synology.me:4022/rtp/239.49.0.177:8000$订阅源

🎬电影频道,#genre#
NewTV惊悚悬疑,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010077$订阅源
NewTV动作电影,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010003$订阅源
黑莓电影,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010073$订阅源
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8$订阅源
靖天映画,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv055$订阅源
靖天映画,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv055$订阅源
靖天戏剧,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir$订阅源
经典电影,https://yylunbo.ottiptv.cc/yy/1414812324$订阅源
天映经典,http://o11.163189.xyz/stream/live/ccm/$订阅源
天映经典,https://o11.163189.xyz/stream/live/ccm/$订阅源
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2$订阅源
天映经典,https://epg.pw/stream/cb817875cf26eb683af274dd8cdf7f559a71353d9565c32447c8d98894bc8095.ctv$订阅源

🪁动画频道,#genre#
动漫秀场,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031113$订阅源
爱动漫,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000280630$订阅源
优漫卡通,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010118$订阅源
黑莓动画,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010002$订阅源
浙江少儿,http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8$订阅源
河北少儿科教,https://event.pull.hebtv.com/jishi/shaoerkejiao.m3u8$订阅源
七龙珠,https://live.metshop.top/huya/11601966$订阅源
七龙珠,http://cdn.jdshipin.com:8880/huya.php?id=11601966$订阅源
七龙珠,https://live.ottiptv.cc/huya/11601966$订阅源
火影忍者,http://cdn.jdshipin.com:8880/huya.php?id=29465866$订阅源
